Nombre,Pos.,Altura,Peso,Número,Fecha de nacimiento,Exp.,Antes de la NBA,País
Charles Bassey,AP,2.06,104.3 kilogramos,23,2000-10-28,0,Western Kentucky/Nigeria,Nigeria
Charlie Brown Jr.,B,1.98,90.3 kilogramos,16,1997-02-02,2,St. Joseph's (PA)/United States,Estados Unidos
Joel Embiid,AP,2.13,127.0 kilogramos,21,1994-03-16,5,Kansas/Cameroon,Camerún
Danny Green,B,1.98,97.5 kilogramos,14,1987-06-22,12,North Carolina/United States,Estados Unidos
James Harden,B,1.96,99.8 kilogramos,1,1989-08-26,12,Arizona State/United States,Estados Unidos
Tobias Harris,A,2.01,102.5 kilogramos,12,1992-07-15,10,Tennessee/United States,Estados Unidos
Isaiah Joe,B,1.93,74.8 kilogramos,7,1999-07-02,1,Arkansas/United States,Estados Unidos
DeAndre Jordan,P,2.11,120.2 kilogramos,9,1988-07-21,13,Texas A&M/United States,Estados Unidos
Furkan Korkmaz,E-A,2.01,91.6 kilogramos,30,1997-07-24,4,Anadolu Efes/Turkey,Turquía
Tyrese Maxey,B,1.88,90.7 kilogramos,0,2000-11-04,1,Kentucky/United States,Estados Unidos
Paul Millsap,A,2.01,116.6 kilogramos,8,1985-02-10,15,Louisiana Tech/United States,Estados Unidos
Shake Milton,E-A,1.96,93.0 kilogramos,18,1996-09-26,3,Southern Methodist/United States,Estados Unidos
Georges Niang,A,2.01,104.3 kilogramos,20,1993-06-17,5,Iowa State/United States,Estados Unidos
Myles Powell,B,1.88,88.5 kilogramos,5,1997-07-07,0,Seton Hall/United States,Estados Unidos
Paul Reed,A,2.06,95.3 kilogramos,44,1999-06-14,1,DePaul/United States,Estados Unidos
Jaden Springer,B,1.93,91.6 kilogramos,11,2002-09-25,0,Tennessee/United States,Estados Unidos
Matisse Thybulle,E-A,1.96,91.2 kilogramos,22,1997-03-04,2,Washington/United States,Estados Unidos
