Nombre,Pos.,Altura,Peso,Número,Fecha de nacimiento,Exp.,Antes de la NBA,País,Team,Conference
Bam Adebayo,AP,2.06,115.7 kilogramos,13.0,1997-07-18,4,Kentucky/United States,Estados Unidos,Miami Heat,Eastern
Jimmy Butler,A,2.01,104.3 kilogramos,22.0,1989-09-14,10,Marquette/United States,Estados Unidos,Miami Heat,Eastern
Dewayne Dedmon,P,2.13,111.1 kilogramos,21.0,1989-08-12,8,Southern California/United States,Estados Unidos,Miami Heat,Eastern
Udonis Haslem,A,2.03,106.6 kilogramos,40.0,1980-06-09,18,Florida/United States,Estados Unidos,Miami Heat,Eastern
Tyler Herro,B,1.96,88.5 kilogramos,14.0,2000-01-20,2,Kentucky/United States,Estados Unidos,Miami Heat,Eastern
Haywood Highsmith,A,1.93,99.8 kilogramos,24.0,1996-12-09,1,Wheeling Jesuit/United States,Estados Unidos,Miami Heat,Eastern
Kyle Lowry,B,1.83,88.9 kilogramos,7.0,1986-03-25,15,Villanova/United States,Estados Unidos,Miami Heat,Eastern
Caleb Martin,A,1.96,93.0 kilogramos,16.0,1995-09-28,2,Nevada-Reno/United States,Estados Unidos,Miami Heat,Eastern
Markieff Morris,A,2.06,111.1 kilogramos,8.0,1989-09-02,10,Kansas/United States,Estados Unidos,Miami Heat,Eastern
Mychal Mulder,B,1.9,83.5 kilogramos,12.0,1994-06-12,2,Kentucky/Canada,Canada,Miami Heat,Eastern
Victor Oladipo,B,1.93,96.6 kilogramos,4.0,1992-05-04,8,Indiana/United States,Estados Unidos,Miami Heat,Eastern
Duncan Robinson,A,2.01,97.5 kilogramos,55.0,1994-04-22,3,Michigan/United States,Estados Unidos,Miami Heat,Eastern
Javonte Smart,B,1.93,93.0 kilogramos,15.0,1999-06-03,0,Louisiana State/United States,Estados Unidos,Miami Heat,Eastern
Max Strus,E-A,1.96,97.5 kilogramos,31.0,1996-03-28,2,DePaul/United States,Estados Unidos,Miami Heat,Eastern
P.J. Tucker,A,1.96,111.1 kilogramos,17.0,1985-05-05,10,Texas-Austin/United States,Estados Unidos,Miami Heat,Eastern
Gabe Vincent,B,1.9,90.7 kilogramos,2.0,1996-06-14,2,California-Santa Barbara/United States,Estados Unidos,Miami Heat,Eastern
Omer Yurtseven,P,2.11,124.7 kilogramos,77.0,1998-06-19,0,Georgetown/Turkey,Turquía,Miami Heat,Eastern
