Nombre,Pos.,Altura,Peso,Número,Fecha de nacimiento,Exp.,Antes de la NBA,País,Team,Conference
Deandre Ayton,P,2.11,113.4 kilogramos,22.0,23-07-1998,3,Arizona/Bahamas,Bahamas,Phoenix Suns,Western
Bismack Biyombo,P,2.03,115.7 kilogramos,18.0,28-08-1992,10,Baloncesto Fuenlabrada/DRC,Democratic Republic of Congo,Phoenix Suns,Western
Devin Booker,B,1.96,93.4 kilogramos,1.0,30-10-1996,6,Kentucky/United States,Estados Unidos,Phoenix Suns,Western
Mikal Bridges,A,1.98,94.8 kilogramos,25.0,30-08-1996,3,Villanova/United States,Estados Unidos,Phoenix Suns,Western
Torrey Craig,A,2.01,100.2 kilogramos,0.0,19-12-1990,4,South Carolina Upstate/United States,Estados Unidos,Phoenix Suns,Western
Jae Crowder,A,1.98,106.6 kilogramos,99.0,06-07-1990,9,Marquette/United States,Estados Unidos,Phoenix Suns,Western
Aaron Holiday,B,1.83,83.9 kilogramos,4.0,30-09-1996,3,UCLA/United States,Estados Unidos,Phoenix Suns,Western
Cameron Johnson,A,2.03,95.3 kilogramos,23.0,03-03-1996,2,North Carolina/United States,Estados Unidos,Phoenix Suns,Western
Frank Kaminsky,AP,2.13,108.9 kilogramos,8.0,04-04-1993,6,Wisconsin/United States,Estados Unidos,Phoenix Suns,Western
Gabriel Lundberg,B,1.93,92.1 kilogramos,19.0,04-12-1994,0,Denmark,Denmark,Phoenix Suns,Western
JaVale McGee,AP,2.13,122.5 kilogramos,0.0,19-01-1988,13,Nevada-Reno/United States,Estados Unidos,Phoenix Suns,Western
Chris Paul,B,1.83,79.4 kilogramos,3.0,06-05-1985,16,Wake Forest/United States,Estados Unidos,Phoenix Suns,Western
Cameron Payne,B,1.85,83.0 kilogramos,15.0,08-08-1994,6,Murray State/United States,Estados Unidos,Phoenix Suns,Western
Elfrid Payton,B,1.9,88.5 kilogramos,2.0,22-02-1994,7,Louisana-Lafayette/United States,Estados Unidos,Phoenix Suns,Western
Dario Saric,AP,2.08,102.1 kilogramos,20.0,08-04-1994,5,Anadolu Efes/Croatia,Croatia,Phoenix Suns,Western
Landry Shamet,B,1.93,86.2 kilogramos,14.0,13-03-1997,3,Wichita State/United States,Estados Unidos,Phoenix Suns,Western
Ish Wainright,A,1.96,113.4 kilogramos,12.0,12-09-1994,0,Baylor/United States,Estados Unidos,Phoenix Suns,Western
Steven Adams,P,2.11,120.2 kilogramos,4.0,20-07-1993,8,Pittsburgh/New Zealand,New Zealand,Memphis Grizzlies,Western
Santi Aldama,AP,2.11,97.5 kilogramos,7.0,10-01-2001,0,Loyola-Maryland/Spain,España,Memphis Grizzlies,Western
Kyle Anderson,A-E,2.06,104.3 kilogramos,1.0,20-09-1993,7,UCLA/United States,Estados Unidos,Memphis Grizzlies,Western
Desmond Bane,B,1.96,97.5 kilogramos,22.0,25-06-1998,1,TCU/United States,Estados Unidos,Memphis Grizzlies,Western
Dillon Brooks,E-A,2.01,102.1 kilogramos,24.0,22-01-1996,4,Oregon/Canada,Canada,Memphis Grizzlies,Western
Brandon Clarke,A,2.03,97.5 kilogramos,15.0,19-09-1996,2,Gonzaga/Canada,Canada,Memphis Grizzlies,Western
