Jugador,B,GS,MPP,%TC,%3P,%TL,OFE,DEF,PPP,RePP,APP,RoPP,TPP,PÉR,FP,Team,Conference
Deandre Ayton,57,57,29.5,63.8,35.3,74.6,2.5,7.7,17.2,10.2,1.4,0.7,0.7,1.6,2.4,Phoenix Suns,Western
Bismack Biyombo,34,3,13.2,58.3,0.0,51.5,1.7,2.6,5.4,4.3,0.6,0.3,0.7,0.7,1.9,Phoenix Suns,Western
Devin Booker,67,67,34.4,46.5,38.3,86.6,0.7,4.4,26.7,5.1,4.9,1.2,0.4,2.4,2.6,Phoenix Suns,Western
Mikal Bridges,79,79,35.4,53.4,37.0,82.8,0.9,3.4,14.4,4.3,2.3,1.2,0.5,0.8,1.9,Phoenix Suns,Western
Torrey Craig,24,2,20.9,45.6,31.2,70.6,0.9,3.4,6.7,4.3,1.2,0.9,0.6,1.0,2.0,Phoenix Suns,Western
Jae Crowder,66,66,28.2,40.0,34.9,78.9,0.5,4.8,9.5,5.3,1.9,1.4,0.4,0.8,2.6,Phoenix Suns,Western
Aaron Holiday,19,0,15.6,46.8,54.2,95.7,0.6,1.7,6.5,2.3,3.3,0.8,0.0,1.3,1.1,Phoenix Suns,Western
Cameron Johnson,63,14,26.2,46.4,43.6,86.4,0.6,3.5,12.7,4.1,1.5,0.8,0.2,0.7,1.8,Phoenix Suns,Western
Frank Kaminsky,9,0,20.1,54.5,33.3,90.0,1.2,3.3,10.6,4.5,1.4,0.9,0.8,0.6,1.6,Phoenix Suns,Western
Gabriel Lundberg,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,Phoenix Suns,Western
JaVale McGee,71,15,15.7,63.5,25.0,71.7,2.1,4.5,9.3,6.6,0.6,0.3,1.1,1.3,2.4,Phoenix Suns,Western
Chris Paul,64,64,32.8,49.1,31.8,83.5,0.3,4.0,14.7,4.3,10.7,1.9,0.3,2.3,2.1,Phoenix Suns,Western
Cameron Payne,57,11,22.0,40.9,33.2,84.3,0.4,2.6,10.8,3.0,4.9,0.7,0.3,1.8,2.1,Phoenix Suns,Western
Elfrid Payton,48,1,10.9,39.2,23.5,40.0,0.4,1.3,3.0,1.7,2.0,0.5,0.1,0.9,0.8,Phoenix Suns,Western
Dario Saric,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phoenix Suns,Western
Landry Shamet,66,12,20.7,39.4,37.1,84.0,0.2,1.6,8.2,1.8,1.5,0.4,0.1,0.6,1.3,Phoenix Suns,Western
Ish Wainright,43,0,7.0,36.0,27.9,58.3,0.4,0.6,1.7,1.0,0.3,0.3,0.1,0.3,1.0,Phoenix Suns,Western
Steven Adams,74,73,26.4,54.5,0.0,54.8,4.6,5.4,7.1,10.0,3.3,0.9,0.8,1.5,2.0,Memphis Grizzlies,Western
Santi Aldama,30,0,10.6,39.4,9.8,58.3,0.8,1.6,3.5,2.4,0.5,0.1,0.3,0.4,1.1,Memphis Grizzlies,Western
Kyle Anderson,66,10,21.5,43.9,32.4,62.6,1.0,4.3,7.4,5.3,2.6,1.1,0.7,1.0,1.6,Memphis Grizzlies,Western
Desmond Bane,74,74,30.1,45.9,42.9,90.1,0.6,3.9,18.3,4.5,2.8,1.2,0.4,1.5,2.5,Memphis Grizzlies,Western
Dillon Brooks,30,29,27.8,42.8,30.3,84.6,1.0,2.3,18.5,3.3,2.7,1.2,0.2,1.6,3.3,Memphis Grizzlies,Western
Brandon Clarke,62,1,19.6,63.5,22.7,65.6,2.1,3.3,10.2,5.4,1.3,0.6,1.1,0.6,2.0,Memphis Grizzlies,Western
Jarrett Culver,36,0,8.5,38.7,24.4,48.3,0.4,0.9,3.2,1.3,0.9,0.5,0.1,0.5,1.1,Memphis Grizzlies,Western
Jaren Jackson Jr.,76,76,27.4,41.4,31.9,82.1,1.6,4.3,16.4,5.9,1.1,1.0,2.3,1.7,3.5,Memphis Grizzlies,Western
Tyus Jones,71,22,21.3,45.5,39.3,81.8,0.2,2.2,8.8,2.4,4.4,0.9,0.0,0.6,0.5,Memphis Grizzlies,Western
John Konchar,69,6,17.7,51.0,41.5,56.8,1.1,3.4,4.7,4.5,1.3,0.6,0.3,0.4,1.3,Memphis Grizzlies,Western
De'Anthony Melton,70,14,22.6,40.6,37.5,75.0,0.9,3.7,10.8,4.6,2.6,1.5,0.5,1.5,1.8,Memphis Grizzlies,Western
Ja Morant,56,56,33.3,49.3,34.0,76.2,1.3,4.4,27.6,5.7,6.7,1.2,0.4,3.4,1.5,Memphis Grizzlies,Western
Yves Pons,9,0,3.6,40.0,50.0,0.0,0.3,0.3,0.6,0.6,0.0,0.0,0.0,0.0,0.2,Memphis Grizzlies,Western
Tyrell Terry,2,0,1.5,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,Memphis Grizzlies,Western
Killian Tillie,36,3,12.8,33.9,31.4,62.5,0.6,1.1,3.3,1.7,0.6,0.6,0.4,0.4,1.6,Memphis Grizzlies,Western
Xavier Tillman,50,1,13.0,46.3,20.9,65.7,1.3,1.9,4.8,3.2,1.1,0.9,0.3,0.6,1.2,Memphis Grizzlies,Western
Ziaire Williams,59,30,21.7,45.1,30.1,79.2,0.4,1.6,7.7,2.0,1.0,0.6,0.2,0.7,1.8,Memphis Grizzlies,Western
Nemanja Bjelica,68,0,16.0,46.0,35.9,71.1,0.8,3.3,6.0,4.1,2.2,0.5,0.4,1.2,1.8,Golden State Warriors,Western
