Clasif.,Clasif..1,Unnamed: 2,Nombre,Nombre.1,V,D,%,DIF,DIF.1,CONF,DIV,Local,Visitante,10 últimos,Racha,FP,PA,DIF.2
1,1,,w - Phoenix Suns,w - PHX,62,15,80.5,0.0,0.0,37 - 10,9 - 4,31 - 8,31 - 7,9-1,Perdido 1,115.2,107.0,8.2
2,1,,sw - Memphis Grizzlies,sw - MEM,55,23,70.5,7.5,0.0,35 - 14,10 - 5,29 - 10,26 - 13,9-1,Ganado 7,115.4,109.2,6.2
3,2,,Golden State Warriors,GSW,48,29,62.3,14.0,14.0,28 - 19,10 - 4,29 - 10,19 - 19,3-7,Perdido 4,110.7,105.7,5.0
4,2,,x - Dallas Mavericks,x - DAL,48,30,61.5,14.5,7.0,34 - 16,13 - 2,27 - 12,21 - 18,6-4,Perdido 1,107.1,104.7,2.4
5,1,,Utah Jazz,UTA,46,31,59.7,16.0,0.0,30 - 17,13 - 1,27 - 11,19 - 20,4-6,Ganado 1,113.4,107.8,5.6
6,2,,Denver Nuggets,DEN,46,32,59.0,16.5,0.5,27 - 21,6 - 10,22 - 16,24 - 16,6-4,Perdido 1,112.2,109.8,2.4
7,3,,Minnesota Timberwolves,MIN,44,34,56.4,18.5,2.5,30 - 20,12 - 4,25 - 13,19 - 21,6-4,Ganado 1,115.5,112.6,2.9
8,3,,LA Clippers,LAC,38,40,48.7,24.5,24.5,22 - 26,7 - 7,21 - 16,17 - 24,3-7,Ganado 1,107.7,108.9,-1.2
9,3,,New Orleans Pelicans,NOP,34,43,44.2,28.0,20.5,23 - 24,6 - 9,18 - 21,16 - 22,7-3,Ganado 3,109.0,109.8,-0.8
10,4,,San Antonio Spurs,SAS,32,45,41.6,30.0,22.5,22 - 25,6 - 9,15 - 24,17 - 21,6-4,Ganado 1,113.2,113.3,-0.1
11,4,,Los Angeles Lakers,LAL,31,46,40.3,31.0,31.0,16 - 31,3 - 11,20 - 19,11 - 27,2-8,Perdido 5,111.5,114.6,-3.1
12,5,,Sacramento Kings,SAC,29,49,37.2,33.5,33.5,19 - 29,5 - 8,16 - 23,13 - 26,5-5,Ganado 2,110.7,115.8,-5.1
13,4,,o - Portland Trail Blazers,o - POR,27,50,35.1,35.0,19.0,11 - 36,1 - 13,17 - 23,10 - 27,1-9,Perdido 6,107.4,115.1,-7.7
14,5,,o - Oklahoma City Thunder,o - OKC,22,55,28.6,40.0,24.0,15 - 32,5 - 9,10 - 29,12 - 26,2-8,Perdido 2,103.9,111.5,-7.6
15,5,,o - Houston Rockets,o - HOU,20,58,25.6,42.5,35.0,11 - 40,3 - 13,11 - 28,9 - 30,3-7,Perdido 3,109.4,117.8,-8.4
