Clasif.,Clasif..1,Unnamed: 2,Nombre,Nombre.1,V,D,%,DIF,DIF.1,CONF,DIV,Local,Visitante,10 últimos,Racha,FP,PA,DIF.2
1,1,,w - Phoenix Suns,w - PHX,61,14,81.3,0.0,0.0,36 - 9,8 - 4,31 - 8,30 - 6,9-1,Ganado 8,115.3,106.9,8.4
2,1,,x - Memphis Grizzlies,x - MEM,52,23,69.3,9.0,0.0,32 - 14,9 - 5,27 - 10,25 - 13,8-2,Ganado 4,115.3,109.3,6.0
3,2,,Golden State Warriors,GSW,48,27,64.0,13.0,13.0,28 - 17,10 - 3,29 - 9,19 - 18,5-5,Perdido 2,111.0,105.4,5.6
4,2,,Dallas Mavericks,DAL,46,29,61.3,15.0,6.0,33 - 16,13 - 2,26 - 12,20 - 17,6-4,Ganado 1,106.7,104.1,2.6
5,1,,Utah Jazz,UTA,45,30,60.0,16.0,0.0,29 - 16,13 - 1,26 - 11,19 - 19,4-6,Perdido 4,113.3,107.6,5.7
6,2,,Denver Nuggets,DEN,44,31,58.7,17.0,1.0,27 - 20,6 - 9,22 - 15,22 - 16,5-5,Ganado 1,111.8,109.4,2.4
7,3,,Minnesota Timberwolves,MIN,43,33,56.6,18.5,2.5,29 - 20,11 - 4,25 - 13,18 - 20,6-4,Perdido 1,115.4,112.2,3.2
8,3,,LA Clippers,LAC,36,39,48.0,25.0,25.0,21 - 26,7 - 7,20 - 16,16 - 23,2-8,Perdido 5,106.7,108.3,-1.6
9,3,,New Orleans Pelicans,NOP,32,43,42.7,29.0,20.0,21 - 24,6 - 9,18 - 21,14 - 22,5-5,Ganado 1,108.8,109.8,-1.0
10,4,,Los Angeles Lakers,LAL,31,43,41.9,29.5,29.5,16 - 28,3 - 11,20 - 18,11 - 25,3-7,Perdido 2,111.6,114.3,-2.7
11,4,,San Antonio Spurs,SAS,30,44,40.5,30.5,21.5,20 - 24,5 - 8,14 - 23,16 - 21,6-4,Ganado 3,112.9,113.2,-0.3
12,4,,Portland Trail Blazers,POR,27,47,36.5,33.5,17.5,11 - 33,1 - 12,17 - 21,10 - 26,2-8,Perdido 3,107.1,114.6,-7.5
13,5,,Sacramento Kings,SAC,27,48,36.0,34.0,34.0,17 - 29,5 - 8,16 - 23,11 - 25,3-7,Ganado 2,110.5,115.7,-5.2
14,5,,o - Oklahoma City Thunder,o - OKC,21,53,28.4,39.5,23.5,14 - 32,4 - 9,10 - 27,11 - 26,1-9,Perdido 1,103.4,110.9,-7.5
15,5,,o - Houston Rockets,o - HOU,20,55,26.7,41.0,32.0,11 - 37,3 - 12,11 - 25,9 - 30,4-6,Ganado 2,109.0,117.6,-8.6
