Jugador,B,GS,MPP,%TC,%3P,%TL,OFE,DEF,PPP,RePP,APP,RoPP,TPP,PÉR,FP
Charles Bassey,23,0,7.3,63.8,0.0,75.0,1.0,1.7,3.0,2.7,0.3,0.2,0.7,0.4,1.4
Charlie Brown Jr.,19,2,8.5,26.5,11.1,90.0,0.7,0.9,1.5,1.6,0.3,0.4,0.2,0.3,0.8
Joel Embiid,64,64,33.5,49.4,36.4,81.6,2.1,9.4,30.0,11.5,4.3,1.1,1.4,3.1,2.7
Danny Green,57,25,21.6,38.8,36.8,83.3,0.5,1.9,5.7,2.4,0.9,0.9,0.6,0.7,1.7
James Harden,17,17,37.2,41.3,34.2,88.8,0.5,7.0,22.1,7.5,9.8,1.4,0.3,3.3,2.4
Tobias Harris,68,68,34.9,48.7,36.3,84.5,1.1,5.8,17.6,6.9,3.5,0.6,0.6,1.6,2.2
Isaiah Joe,53,1,10.8,35.2,33.3,93.1,0.1,0.8,3.5,0.9,0.6,0.2,0.1,0.3,0.8
DeAndre Jordan,13,0,13.2,52.4,0.0,83.3,2.0,3.5,4.2,5.5,0.5,0.2,0.6,1.2,1.2
Furkan Korkmaz,63,19,21.7,39.4,29.6,80.0,0.3,2.4,7.9,2.7,2.0,0.5,0.1,0.7,0.9
Tyrese Maxey,70,69,35.6,48.0,41.6,85.9,0.4,2.9,17.2,3.3,4.3,0.7,0.4,1.1,2.1
Paul Millsap,9,1,11.8,43.3,25.0,71.4,1.3,1.4,3.7,2.7,0.6,0.6,0.2,0.9,2.1
Shake Milton,50,6,21.4,41.6,29.8,82.8,0.5,2.1,7.9,2.6,2.5,0.5,0.3,0.8,1.8
Georges Niang,73,7,23.0,43.4,39.8,87.7,0.3,2.4,9.2,2.7,1.4,0.4,0.2,0.8,2.5
Myles Powell,11,0,4.7,29.4,16.7,100.0,0.1,0.5,1.2,0.6,0.3,0.1,0.0,0.3,0.7
Paul Reed,35,2,7.4,47.4,25.0,40.0,1.0,1.1,2.2,2.1,0.4,0.7,0.4,0.3,1.3
Jaden Springer,2,0,3.0,100.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0
Matisse Thybulle,62,47,25.5,50.5,31.9,79.1,0.6,1.7,5.9,2.3,1.1,1.8,1.1,0.6,2.4
