Clasif.,Clasif..1,Unnamed: 2,Nombre,Nombre.1,V,D,%,DIF,DIF.1,CONF,DIV,Local,Visitante,10 últimos,Racha,FP,PA,DIF.2,Conference
1,1,,se - Miami Heat,se - MIA,52,28,65.0,0.0,0.0,34 - 16,12 - 2,28 - 12,24 - 16,6-4,Ganado 5,110.0,105.3,4.7,Eastern
2,1,,x - Boston Celtics,x - BOS,49,30,62.0,2.5,0.0,32 - 18,9 - 7,28 - 13,21 - 17,8-2,Ganado 2,111.2,104.3,6.9,Eastern
3,1,,c - Milwaukee Bucks,c - MIL,49,30,62.0,2.5,0.0,31 - 18,11 - 3,26 - 14,23 - 16,6-4,Ganado 1,115.2,111.9,3.3,Eastern
4,2,,x - Philadelphia 76ers,x - PHI,49,30,62.0,2.5,0.0,30 - 19,6 - 9,22 - 17,27 - 13,6-4,Ganado 3,109.5,107.0,2.5,Eastern
5,3,,x - Toronto Raptors,x - TOR,46,33,58.2,5.5,3.0,29 - 21,9 - 5,22 - 17,24 - 16,7-3,Ganado 1,109.4,106.9,2.5,Eastern
6,2,,x - Chicago Bulls,x - CHI,45,34,57.0,6.5,4.0,29 - 21,10 - 6,27 - 12,18 - 22,4-6,Perdido 2,111.6,111.6,0.0,Eastern
7,3,,Cleveland Cavaliers,CLE,43,37,53.8,9.0,6.5,26 - 24,9 - 6,24 - 16,19 - 21,3-7,Perdido 2,107.5,105.4,2.1,Eastern
8,4,,Brooklyn Nets,BKN,41,38,51.9,10.5,8.0,28 - 21,9 - 6,18 - 21,23 - 17,5-5,Ganado 1,112.6,112.2,0.4,Eastern
9,2,,Atlanta Hawks,ATL,41,38,51.9,10.5,10.5,25 - 25,8 - 6,26 - 14,15 - 24,7-3,Perdido 1,113.7,112.5,1.2,Eastern
10,3,,Charlotte Hornets,CHA,40,39,50.6,11.5,11.5,24 - 25,6 - 8,20 - 19,20 - 20,6-4,Perdido 2,114.8,115.1,-0.3,Eastern
11,4,,o - Washington Wizards,o - WAS,35,44,44.3,16.5,16.5,24 - 25,7 - 7,21 - 19,14 - 25,6-4,Ganado 1,108.9,111.7,-2.8,Eastern
12,5,,o - New York Knicks,o - NYK,35,44,44.3,16.5,14.0,20 - 29,4 - 10,16 - 23,19 - 21,6-4,Ganado 1,106.5,106.9,-0.4,Eastern
13,4,,o - Indiana Pacers,o - IND,25,55,31.3,27.0,24.5,11 - 39,2 - 14,16 - 25,9 - 30,2-8,Perdido 8,111.2,114.5,-3.3,Eastern
14,5,,o - Detroit Pistons,o - DET,23,56,29.1,28.5,26.0,18 - 32,6 - 9,13 - 26,10 - 30,5-5,Ganado 3,104.8,112.0,-7.2,Eastern
15,5,,o - Orlando Magic,o - ORL,21,59,26.3,31.0,31.0,11 - 39,2 - 12,11 - 29,10 - 30,3-7,Ganado 1,104.0,112.1,-8.1,Eastern
