Clasif.,Clasif..1,Unnamed: 2,Nombre,Nombre.1,V,D,%,DIF,DIF.1,CONF,DIV,Local,Visitante,10 últimos,Racha,FP,PA,DIF.2,Conference
1,1,,w - Phoenix Suns,w - PHX,63,16,79.7,0.0,0.0,38 - 11,10 - 4,32 - 8,31 - 8,8-2,Ganado 1,115.0,107.2,7.8,Western
2,1,,sw - Memphis Grizzlies,sw - MEM,55,24,69.6,8.0,0.0,35 - 15,10 - 5,29 - 10,26 - 14,8-2,Perdido 1,115.4,109.4,6.0,Western
3,2,,x - Golden State Warriors,x - GSW,50,29,63.3,13.0,13.0,30 - 19,11 - 4,30 - 10,20 - 19,3-7,Ganado 2,110.7,105.5,5.2,Western
4,2,,x - Dallas Mavericks,x - DAL,49,30,62.0,14.0,6.0,34 - 16,13 - 2,27 - 12,22 - 18,6-4,Ganado 1,107.2,104.8,2.4,Western
5,1,,x - Utah Jazz,x - UTA,47,32,59.5,16.0,0.0,31 - 18,13 - 1,28 - 11,19 - 21,4-6,Ganado 1,113.5,108.0,5.5,Western
6,2,,Denver Nuggets,DEN,47,33,58.8,16.5,0.5,28 - 22,6 - 10,22 - 17,25 - 16,5-5,Perdido 1,112.3,110.0,2.3,Western
7,3,,Minnesota Timberwolves,MIN,45,35,56.3,18.5,2.5,31 - 20,12 - 4,25 - 14,20 - 21,5-5,Perdido 1,115.8,113.1,2.7,Western
8,3,,LA Clippers,LAC,39,40,49.4,24.0,24.0,23 - 26,7 - 7,22 - 16,17 - 24,4-6,Ganado 2,107.9,108.8,-0.9,Western
9,3,,New Orleans Pelicans,NOP,35,44,44.3,28.0,20.0,24 - 25,6 - 9,18 - 21,17 - 23,7-3,Ganado 1,109.0,109.9,-0.9,Western
10,4,,San Antonio Spurs,SAS,34,45,43.0,29.0,21.0,24 - 25,6 - 9,16 - 24,18 - 21,8-2,Ganado 3,113.2,112.8,0.4,Western
11,4,,o - Los Angeles Lakers,o - LAL,31,48,39.2,32.0,32.0,16 - 33,3 - 12,20 - 20,11 - 28,2-8,Perdido 7,111.6,114.8,-3.2,Western
12,5,,o - Sacramento Kings,o - SAC,29,51,36.3,34.5,34.5,19 - 31,5 - 9,16 - 25,13 - 26,4-6,Perdido 2,110.4,115.8,-5.4,Western
13,4,,o - Portland Trail Blazers,o - POR,27,52,34.2,36.0,20.0,11 - 38,1 - 14,17 - 23,10 - 29,1-9,Perdido 8,107.1,114.8,-7.7,Western
14,5,,o - Oklahoma City Thunder,o - OKC,24,55,30.4,39.0,23.0,17 - 32,6 - 9,12 - 29,12 - 26,4-6,Ganado 2,104.0,111.1,-7.1,Western
15,5,,o - Houston Rockets,o - HOU,20,60,25.0,43.5,35.5,11 - 41,3 - 13,11 - 29,9 - 31,3-7,Perdido 5,109.6,118.1,-8.5,Western
